"おまえ房総半島なんだ、俺は安全運転湾だけど🌊","おまえ房総半島なんだ","俺は安全運転湾だけど🌊","ぼうそうはんとう","あんぜんうんてんわん",https://twitter.com/undefined/status/1656203123793494025
"おまえ左スティックなんだ、俺はプリーツスクィアールくすぐりだけど","おまえ左スティックなんだ","俺はプリーツスクィアールくすぐりだけど","ひだりすてぃっく","ぷりーつすくぃあーるくすぐり",https://twitter.com/undefined/status/1648607328391012353
"おまえ天気の子なんだ、俺はサウザンドタケノコだけど🎍","おまえ天気の子なんだ","俺はサウザンドタケノコだけど🎍","てんきのこ","さうざんどたけのこ",https://twitter.com/undefined/status/1640634735578976256
"おまえ大学院なんだ、俺は小がキングだけど🫅","おまえ大学院なんだ","俺は小がキングだけど🫅","だいがくいん","しょうがきんぐ",https://twitter.com/undefined/status/1640552364284473344
"おまえインベイダーなんだ、俺は陽アナキンだけど","おまえインベイダーなんだ","俺は陽アナキンだけど","いんべいだー","ようあなきん",https://twitter.com/undefined/status/1638741515051859969
"おまえ渋滞なんだ、俺は十一カンボジアだけど🇰🇭","おまえ渋滞なんだ","俺は十一カンボジアだけど🇰🇭","じゅうたい","じゅういちかんぼじあ",https://twitter.com/undefined/status/1634873952240799744
"おまえ免罪符なんだ、俺はウーマン小銭入れだけど👛","おまえ免罪符なんだ","俺はウーマン小銭入れだけど👛","めんざいふ","うーまんこぜにいれ",https://twitter.com/undefined/status/1630683109762170882
"おまえ精神的支柱なんだ、俺は肉体的カレーだけど🍛","おまえ精神的支柱なんだ","俺は肉体的カレーだけど🍛","せいしんてきしちゅう","にくたいてきかれー",https://twitter.com/undefined/status/1629983643593740289
"おまえクライアントなんだ、俺は明るいキリギリスだけど🐜","おまえクライアントなんだ","俺は明るいキリギリスだけど🐜","くらいあんと","あかるいきりぎりす",https://twitter.com/undefined/status/1624914322148442112
"おまえ士農工商なんだ、俺は生きよう低俗だけど","おまえ士農工商なんだ","俺は生きよう低俗だけど","しのうこうしょう","いきようていぞく",https://twitter.com/undefined/status/1624194336249511939
"おまえハイキングウォーキングなんだ、俺はイイエスレイブピース民だけど🫅","おまえハイキングウォーキングなんだ","俺はイイエスレイブピース民だけど🫅","はいきんぐうぉーきんぐ","いいえすれいぶぴーすみん",https://twitter.com/undefined/status/1623605245699031040
"おまえ闇バイトなんだ、俺は光8ビットだけど🚅","おまえ闇バイトなんだ","俺は光8ビットだけど🚅","やみばいと","ひかりはちびっと",https://twitter.com/undefined/status/1622795559944994816
"おまえアニバーサリーなんだ、俺は妹爺アオザイだけど👵","おまえアニバーサリーなんだ","俺は妹爺アオザイだけど👵","あにばーさりー","いもうとじいあおざい",https://twitter.com/undefined/status/1620480513336291329
"おまえ薬剤師なんだ、俺は任侠岩だけど🪨","おまえ薬剤師なんだ","俺は任侠岩だけど🪨","やくざいし","にんきょういわ",https://twitter.com/undefined/status/1617359649875038208
"おまえハイヒールなんだ、俺はいいえ水いらないだけど🔥","おまえハイヒールなんだ","俺はいいえ水いらないだけど🔥","はいひーる","いいえみずいらない",https://twitter.com/undefined/status/1610420300986056705
"おまえ加湿器なんだ、俺はレンタル太陽だけど🌞","おまえ加湿器なんだ","俺はレンタル太陽だけど🌞","かしつき","れんたるたいよう",https://twitter.com/undefined/status/1604035770964013056
"おまえコインランドリーなんだ、俺はオサツアルクニモだけど🐠","おまえコインランドリーなんだ","俺はオサツアルクニモだけど🐠","こいんらんどりー","おさつあるくにも",https://twitter.com/undefined/status/1603167974210142208
"おまえテラスタルなんだ、俺は神社栄えるだけど⛩️","おまえテラスタルなんだ","俺は神社栄えるだけど⛩️","てらすたる","じんじゃさかえる",https://twitter.com/undefined/status/1600846293676326914
"おまえモドリッチなんだ、俺はススムッペだけど","おまえモドリッチなんだ","俺はススムッペだけど","もどりっち","すすむっぺ",https://twitter.com/undefined/status/1599792983490297859
"おまえクロアチアなんだ、俺はシロサムサだけど🇭🇷","おまえクロアチアなんだ","俺はシロサムサだけど🇭🇷","くろあちあ","しろさむさ",https://twitter.com/undefined/status/1598947752645660672
"おまえ五等分の花嫁なんだ、俺は佐藤ぶるな草見ろだけど🌱","おまえ五等分の花嫁なんだ","俺は佐藤ぶるな草見ろだけど🌱","ごとうぶんのはなよめ","さとうぶるなくさみろ",https://twitter.com/undefined/status/1598756686390759424
"おまえ夜郎自大なんだ、俺は乙女現代だけど👵","おまえ夜郎自大なんだ","俺は乙女現代だけど👵","やろうじだい","おとめげんだい",https://twitter.com/undefined/status/1598154817989275648
"おまえ量産型女子なんだ、俺は部長型形容詞だけど👮","おまえ量産型女子なんだ","俺は部長型形容詞だけど👮","りょうさんがたじょし","ぶちょうがたけいようし",https://twitter.com/undefined/status/1597317599398072321
"おまえ天気の子なんだ、俺はナンロック金槌だけど🔨","おまえ天気の子なんだ","俺はナンロック金槌だけど🔨","てんきのこ","なんろっくかなづち",https://twitter.com/undefined/status/1590988260045893632
"おまえ二ノ国なんだ、俺は相葉くん村だけど🏝","おまえ二ノ国なんだ","俺は相葉くん村だけど🏝","にのくに","あいばくんむら",https://twitter.com/undefined/status/1588371928879800320
"おまえアーカンソー州なんだ、俺はエー潤いクリームだけど🇺🇸","おまえアーカンソー州なんだ","俺はエー潤いクリームだけど🇺🇸","あーかんそーしゅう","えーうるおいくりーむ",https://twitter.com/undefined/status/1587270906128179201
